type,entry_time,entry_price,exit_time,exit_price,profit,profit_percent,capital_after_trade,duration_hours
long,2024-10-11 20:00:00,8.8864,2024-10-23 12:00:00,10.967199999999998,3654247.5111616766,23.4155563557796,19260314.929071687,280.0
short,2024-10-23 12:00:00,10.967199999999998,2024-10-24 20:00:00,11.4088,-775526.576763265,-4.02655190021155,18484788.352308422,32.0
long,2024-10-24 20:00:00,11.4088,2024-10-25 08:00:00,11.0472,-585872.2624811297,-3.169483205946281,17898916.08982729,12.0
short,2024-10-25 08:00:00,11.0472,2024-10-27 16:00:00,11.304,-416073.000567352,-2.3245709320008703,17482843.08925994,56.0
long,2024-10-27 16:00:00,11.304,2024-11-01 16:00:00,12.7536,2241961.19446136,12.823779193205947,19724804.283721298,120.0
short,2024-11-01 16:00:00,12.7536,2024-11-05 04:00:00,13.004,-387270.338778368,-1.9633672061221856,19337533.944942933,84.0
long,2024-11-05 04:00:00,13.004,2024-11-17 08:00:00,28.7472,23410847.770072713,121.06428791141187,42748381.71501565,292.0
short,2024-11-17 08:00:00,28.7472,2024-11-18 08:00:00,30.069599999999998,-1966468.3857884116,-4.600100183670056,40781913.32922724,24.0
long,2024-11-18 08:00:00,30.069599999999998,2024-11-26 00:00:00,31.4112,1819545.8177857834,4.46164897437945,42601459.14701302,184.0
short,2024-11-26 00:00:00,31.4112,2024-11-29 12:00:00,33.129599999999996,-2330581.0474680047,-5.470660146699252,40270878.09954502,84.0
long,2024-11-29 12:00:00,33.129599999999996,2024-12-03 16:00:00,32.4904,-776983.2802457317,-1.9293924466338126,39493894.81929928,100.0
short,2024-12-03 16:00:00,32.4904,2024-12-05 00:00:00,34.4784,-2416524.970476416,-6.118730455765394,37077369.84882287,32.0
long,2024-12-05 00:00:00,34.4784,2024-12-09 20:00:00,34.6816,218517.14561235148,0.5893544944081004,37295886.99443522,116.0
short,2024-12-09 20:00:00,34.6816,2024-12-24 20:00:00,26.5552,8738965.21704819,23.43144491603618,46034852.21148341,360.0
